Sku,WebSku,ProdReference,Size,Capacity,ColorDesc1,ColorHex1,ColorDesc2,ColorHex2,ColorCode,OptionalImage1,OptionalImage2,YourPrice,MinQt1,Price1,MinQt2,Price2,MinQt3,Price3,MinQt4,Price4,MinQt5,Price5,MinQt6,Price6,MinQt7,Price7,MinQt8,Price8,MinQt9,Price9,MinQt10,Price10
11103-103,11103-103,11103,,,Preto,#000000,,,103,11103_103.jpg,,0.342,1.0,0.342,,,,,,,,,,,,,,,,,,
11104-105,11104-105,11104,,,Vermelho,#DD2A34,,,105,11104_105.jpg,,32.9,1.0,32.9,,,,,,,,,,,,,,,,,,
11106-105,11106-105,11106,,,Vermelho,#DD2A34,,,105,11106_105.jpg,,10.9,1.0,10.9,,,,,,,,,,,,,,,,,,
11107-106,11107-106,11107,,,Branco,#FFFFFF,,,106,11107_106.jpg,,24.9,1.0,24.9,,,,,,,,,,,,,,,,,,
11109-114,11109-114,11109,,,Azul royal,#3C53A0,,,114,11109_114.jpg,,39.9,1.0,39.9,,,,,,,,,,,,,,,,,,
11110-105,11110-105,11110,,,Vermelho,#DD2A34,,,105,11110_105.jpg,,1.99,1.0,1.99,,,,,,,,,,,,,,,,,,
11112-104,11112-104,11112,,26 L,Azul,#1F3C75,,,104,11112_104.jpg,,69.9,1.0,69.9,,,,,,,,,,,,,,,,,,
11112-115,11112-115,11112,,26 L,Bordô,#801710,,,115,11112_115.jpg,,69.9,1.0,69.9,,,,,,,,,,,,,,,,,,
11113-114,11113-114,11113,,16 L,Azul royal,#3C53A0,,,114,11113_114.jpg,,29.9,1.0,29.9,,,,,,,,,,,,,,,,,,
11114-119,11114-119,11114,,15 L,Verde claro,#C0E000,,,119,11114_119.jpg,,19.9,1.0,19.9,,,,,,,,,,,,,,,,,,
11116-119,11116-119,11116,,17 L,Verde claro,#C0E000,,,119,11116_119.jpg,,9.9,1.0,9.9,,,,,,,,,,,,,,,,,,
11116-128,11116-128,11116,,17 L,Laranja,#EF941B,,,128,,,9.9,1.0,9.9,,,,,,,,,,,,,,,,,,
11117-119,11117-119,11117,,,Verde claro,#C0E000,,,119,11117_119.jpg,,5.148,1.0,5.148,,,,,,,,,,,,,,,,,,
11117-128,11117-128,11117,,,Laranja,#EF941B,,,128,,,5.148,1.0,5.148,,,,,,,,,,,,,,,,,,
11118-105,11118-105,11118,,10 L,Vermelho,#DD2A34,,,105,11118_105.jpg,,44.9,1.0,44.9,,,,,,,,,,,,,,,,,,
11123-115,11123-115,11123,,,Bordô,#801710,,,115,11123_115.jpg,,0.99,1.0,0.99,,,,,,,,,,,,,,,,,,
11125-109,11125-109,11125,,,Verde,#51A637,,,109,11125_109.jpg,,3.9,1.0,3.9,,,,,,,,,,,,,,,,,,
11128-105,11128-105,11128,,610 mL,Vermelho,#DD2A34,,,105,11128_105.jpg,,5.9,1.0,5.9,,,,,,,,,,,,,,,,,,
11128-119,11128-119,11128,,610 mL,Verde claro,#C0E000,,,119,11128_119.jpg,,5.9,1.0,5.9,,,,,,,,,,,,,,,,,,
11129-104,11129-104,11129,,,Azul,#1F3C75,,,104,11129_104.jpg,,1.99,1.0,1.99,,,,,,,,,,,,,,,,,,
11130-114,11130-114,11130,,790 mL,Azul royal,#3C53A0,,,114,11130_114.jpg,,10.9,1.0,10.9,,,,,,,,,,,,,,,,,,
11131-103,11131-103,11131,,,Preto,#000000,,,103,11131_103.jpg,,1.99,1.0,1.99,,,,,,,,,,,,,,,,,,
11132-112,11132-112,11132,,,Rosa claro,#EC86A8,,,112,11132_112.jpg,,0.99,1.0,0.99,,,,,,,,,,,,,,,,,,
11133-104,11133-104,11133,,,Azul,#1F3C75,,,104,11133_104.jpg,,39.9,1.0,39.9,,,,,,,,,,,,,,,,,,
11136-105,11136-105,11136,,10 L,Vermelho,#DD2A34,,,105,11136_105.jpg,,19.9,1.0,19.9,,,,,,,,,,,,,,,,,,
11138-119,11138-119,11138,,9 L,Verde claro,#C0E000,,,119,,,14.7,1.0,14.7,,,,,,,,,,,,,,,,,,
11139-109,11139-109,11139,,30 L,Verde,#51A637,,,109,11139_109.jpg,,49.9,1.0,49.9,,,,,,,,,,,,,,,,,,
11140-109,11140-109,11140,,,Verde,#51A637,,,109,11140_109.jpg,,0.648,1.0,0.648,,,,,,,,,,,,,,,,,,
11142-103,11142-103,11142,,,Preto,#000000,,,103,11142_103.jpg,,15.9,1.0,15.9,,,,,,,,,,,,,,,,,,
11143-105,11143-105,11143,,,Vermelho,#DD2A34,,,105,11143_105.jpg,,0.9,1.0,0.9,,,,,,,,,,,,,,,,,,
11144-105,11144-105,11144,,,Vermelho,#DD2A34,,,105,11144_105.jpg,,9.9,1.0,9.9,,,,,,,,,,,,,,,,,,
22900-103,22900-103,22900,,,Preto,#000000,,,103,22900_103.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-104,22900-104,22900,,,Azul,#1F3C75,,,104,22900_104.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-105,22900-105,22900,,,Vermelho,#DD2A34,,,105,22900_105.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-106,22900-106,22900,,,Branco,#FFFFFF,,,106,22900_106.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-108,22900-108,22900,,,Amarelo,#F4E745,,,108,22900_108.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-109,22900-109,22900,,,Verde,#51A637,,,109,22900_109.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-114,22900-114,22900,,,Azul royal,#3C53A0,,,114,22900_114.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-119,22900-119,22900,,,Verde claro,#C0E000,,,119,22900_119.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22900-128,22900-128,22900,,,Laranja,#EF941B,,,128,22900_128.jpg,,,1.0,1.79,510.0,1.75,2550.0,1.74,5100.0,1.72,10100.0,1.7,,,,,,,,,,
22901-102,22901-102,22901,,,Rosa,#F4007E,,,102,22901_102.jpg,,,1.0,2.65,255.0,2.62,2550.0,2.58,5100.0,2.54,10100.0,2.5,,,,,,,,,,
22901-103,22901-103,22901,,,Preto,#000000,,,103,22901_103.jpg,,,1.0,2.65,255.0,2.62,2550.0,2.58,5100.0,2.54,10100.0,2.5,,,,,,,,,,
22901-104,22901-104,22901,,,Azul,#1F3C75,,,104,22901_104.jpg,,,1.0,2.65,255.0,2.62,2550.0,2.58,5100.0,2.54,10100.0,2.5,,,,,,,,,,
22901-105,22901-105,22901,,,Vermelho,#DD2A34,,,105,22901_105.jpg,,,1.0,2.65,255.0,2.62,2550.0,2.58,5100.0,2.54,10100.0,2.5,,,,,,,,,,
22901-106,22901-106,22901,,,Branco,#FFFFFF,,,106,22901_106.jpg,,,1.0,2.65,255.0,2.62,2550.0,2.58,5100.0,2.54,10100.0,2.5,,,,,,,,,,
22901-108,22901-108,22901,,,Amarelo,#F4E745,,,108,22901_108.jpg,,,1.0,2.65,255.0,2.62,2550.0,2.58,5100.0,2.54,10100.0,2.5,,,,,,,,,,
