ProdReference,Name,SEOName,Description,ShortDescription,SEOShortDescription,SEOShortDescriptionCap,IsTextil,HasColors,HasSizes,HasCapacitys,CombinedSizes,Gender,DefaultCustomizationIncludedInPrice,AvailableGross,BoxLengthMM,BoxWidthMM,BoxHeightMM,BoxSizeM,BoxWeightKG,BoxVolume,BoxQuantity,BoxInnerQuantity,Multiplier,Taric,Type,TypeCode,SubType,SubTypeCode,MainImage,BoxImage,BagImage,PouchImage,AditionalImageList,AllImageList,Brand,CountryOfOrigin,PvcFree,Properties,ProductCare,WeightGr,Certificates,Composition,Packing,Repacking,RefillType,BatteryType,Materials,PaperSize,PaperGramage,CapacityMah,CapacityGB,VideoLink,InkColor,VideoLinkVimeo,OtherDetails,Sizes,Capacitys,KeyWords,Colors,ProductComponents,RelatedReferences,ProductDefaultComponent,Video360,ProductComponentLocations,ProductComponentDefaultLocation,ProductComponentDefaultLocationAreaMM,ProductComposedLocations,CustomizationTypes,CustomizationDefaultType,CustomizationDefaultTable,CustomizationTables,CustomizationTableOptions,CustomizationDefault,CustomizationDefaultTableMaxColors,CustomizationDefaultHandlingCosts,CustomizationDefaultPrintingLines,IsSeasonal,SeasonalOccasion,SeasonalStartDate,SeasonalEndDate,IsStockOut,OnlineExclusive,CertificateFiles,Weight,Catalogs,UpdateDate
11103,11103. Borracha branca em TPR,11103,Borracha branca em TPR. Produto certificado de acordo com a portaria Inmetro nº423 de 8/out/2021. 55 x 22 x 12 mm,Borracha branca em TPR. Produto certificado de acordo com a portaria Inmetro nº423 de 8/out/2021,11103. Borracha branca em TPR,11103. BORRACHA BRANCA EM TPR,False,True,False,False,55 x 22 x 12 mm,,False,True,0.39,0.22,0.34,0.390X0.220X0.340,15.0,0.029,500,20,1,40169200,Escrita,0031,Borrachas,1571,11103_103.jpg,,,,,11103_103.jpg,hi!dea™,China,False,,,,"Ftalatos, EN71",,,,,,TPR,,,,0,,,,,,,"91917, borrachas, kit escrita, kits de escrita, kit para pintar, pintar, colorir, certificado, 51917, certificado, certificados",Preto,Borracha,,Borracha,,Superior,Superior,45 x 10,Borracha - Superior,Silk Screen,Silk Screen,SCR1-01-01,SCR1-01,SCR1-01-01,Borracha - Superior (Silk Screen - 45 x 10),0,0.0,11103_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11104,11104. Bateria portátil e carregador wireless em alumínio com bateria de polímero de lítio 4'000 mAh,11104,"Bateria portátil com carregador wireless em alumínio 100% reciclado. Bateria de polímero de lítio com capacidade de 4'000 mAh e tempo de vida de ≥ 500 ciclos. Com LED indicador de carga, uma porta de entrada USB-C, uma porta de saída USB-A e potência de carregamento sem fios de 5W. Incluso cabo USB-C para carregar a bateria. Fornecida em caixa presente. 123 x 70 x 10 mm","Bateria portátil com carregador wireless em alumínio 100% reciclado. Bateria de polímero de lítio com capacidade de 4.000 mAh e tempo de vida de ≥ 500 ciclos. Com LED indicador de carga, uma porta de entrada USB-C, uma porta de saída USB-A e potência de carregamento sem fios de 5W. Incluso cabo USB-C para carregar a bateria. Fornecida em caixa presente",11104. Bateria portátil e carregador wireless em alumínio com bateria de polímero de lítio 4.000 mAh,11104. BATERIA PORTÁTIL E CARREGADOR WIRELESS EM ALUMÍNIO COM BATERIA DE POLÍMERO DE LÍTIO 4.000 MAH,False,True,False,False,123 x 70 x 10 mm,,False,True,0.28,0.27,0.17,0.280X0.270X0.170,7.0,0.013,40,20,1,85076000,Tecnologia,0029,Baterias,24,11104_105-b.jpg,,,,,"11104_105-b.jpg, 11104_105.jpg, 11104_105-c.jpg, 11104_105-d.jpg",hi!dea™,China,False,"Fornecido em caixa de oferta, LED, Carregador wireless",,,,,Polybag,Sem polybag,,,Alumínio,,,,0,,,,,,,"carregador portátil, carregadores portáteis, baterias portáteis, powerbank, powerbanks, power bank, power banks, 97078, bluetooth, powerbank, powerbanks",Vermelho,Bateria portátil,,Bateria portátil,,"Verso, Frente",Frente,35 x 25,"Bateria portátil - Verso, Bateria portátil - Frente","Laser, Silk Screen, Tampografia",Laser,LSR1-01-01,"LSR1-01, LSR1-02, LSR1-03, LSR1-04, LSR1-05, SCR2-01, PDP2-01","LSR1-01-01, LSR1-02-01, LSR1-03-01, LSR1-04-01, LSR1-05-01, SCR2-01-01, PDP2-01-01, PDP2-01-02, PDP2-01-03",Bateria portátil - Frente (Laser - 35 x 25),1,0.0,11104_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11106,11106. Bateria portátil em alumínio 2'200 mAh,11106,"Bateria portátil em alumínio. Bateria de lítio com capacidade de 2'200 mAh, tempo de vida ≥ 500 ciclos, uma porta de entrada microUSB e uma porta de saída USB-A. Incluso cabo micro USB para carregar a bateria. 95 x 23 x 22 mm","Bateria portátil em alumínio. Bateria de lítio com capacidade de 2.200 mAh, tempo de vida ≥ 500 ciclos, uma porta de entrada microUSB e uma porta de saída USB-A. Incluso cabo micro USB para carregar a bateria",11106. Bateria portátil em alumínio 2.200 mAh,11106. BATERIA PORTÁTIL EM ALUMÍNIO 2.200 MAH,False,True,False,False,95 x 23 x 22 mm,,False,True,0.49,0.25,0.25,0.490X0.250X0.250,7.0,0.031,100,50,1,85076000,Tecnologia,0029,Baterias,24,11106_105-logo.jpg,,,,,"11106_105-logo.jpg, 11106_105.jpg",hi!dea™,,False,,,,,,Polybag,Sem polybag,,,Alumínio,,,,0,,,,,,,"carregador portátil, carregadores portáteis, baterias portáteis, powerbank, powerbanks, power bank, power banks, 97382, powerbank, powerbanks",Vermelho,Bateria portátil,,Bateria portátil,,"Lateral, Superior",Superior,80 x 13,"Bateria portátil - Lateral, Bateria portátil - Superior",Laser,Laser,LSR1-01-01,"LSR1-01, LSR1-02, LSR1-03, LSR1-04, LSR1-05","LSR1-01-01, LSR1-02-01, LSR1-03-01, LSR1-04-01, LSR1-05-01",Bateria portátil - Lateral (Laser - 80 x 13),1,0.0,11106_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11107,11107. Caixa de som em ABS com microfone,11107,"Caixa de som portátil com microfone, em ABS e acabamento emborrachado. transmissão sem fios BT v3'0, potência de 3W/4Ω e autonomia aproximada de 3 h. Função para atender chamadas, controle de volume e conexão à playlist do dispositivo móvel. Incluso cabo USB para carregar. Fornecida em caixa presente. 150 x 56 x 58 mm | Caixa: 155 x 60 x 60 mm","Caixa de som portátil com microfone, em ABS e acabamento emborrachado. transmissão sem fios BT v3.0, potência de 3W/4Ω e autonomia aproximada de 3 h. Função para atender chamadas, controle de volume e conexão à playlist do dispositivo móvel. Incluso cabo USB para carregar. Fornecida em caixa presente",11107. Caixa de som em ABS com microfone,11107. CAIXA DE SOM EM ABS COM MICROFONE,False,True,False,False,150 x 56 x 58 mm | Caixa: 155 x 60 x 60 mm,,False,True,0.4,0.28,0.25,0.400X0.280X0.250,9.04,0.028,50,25,1,85182100,Tecnologia,0029,Mini Colunas,133,11107_106-box.jpg,11107_106-box.jpg,,,,"11107_106-box.jpg, 11107_106.jpg",hi!dea™,China,False,Transmissão sem fios BT,,,,,,Caixa preta com janela,,,ABS,,,,0,,,,,,,"caixas de som, caixa de som portátil, caixas de som portáteis, 97340, bluetooth, 57340",Branco,Coluna,,Coluna,,Frente superior,Frente superior,30 x 5,Coluna - Frente superior,Tampografia,Tampografia,PDP2-01-01,PDP2-01,PDP2-01-01,Coluna - Frente superior (Tampografia - 30 x 5),0,0.0,11107_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11109,11109. Fones de ouvido wireless em ABS,11109,"Fone de ouvido wireless stereo em ABS com transmissão sem fios BT v5'0 e autonomia aproximada de 3 horas. O estojo de carregamento, com uma bateria 250 mAh, &eacute, tamb&eacute,m em ABS e cont&eacute,m uma presilha em silicone que permite transportar e carregar os fones de forma fácil e cómoda. Produto com cabo de carregamento micro USB incluso. Fornecido em caixa de presente. 77 x 36 x 30 mm","Fone de ouvido wireless stereo em ABS com transmissão sem fios BT v5.0 e autonomia aproximada de 3 horas. O estojo de carregamento, com uma bateria 250 mAh, é também em ABS e contém uma presilha em silicone que permite transportar e carregar os fones de forma fácil e cómoda. Produto com cabo de carregamento micro USB incluso. Fornecido em caixa de presente",11109. Fones de ouvido wireless em ABS,11109. FONES DE OUVIDO WIRELESS EM ABS,False,True,False,False,77 x 36 x 30 mm,,False,True,0.38,0.28,0.25,0.380X0.280X0.250,7.0,0.027,100,0,1,85183000,Tecnologia,0029,Auscultadores,131,11109_114-c.jpg,,,,,"11109_114-c.jpg, 11109_114.jpg",hi!dea™,China,False,Transmissão sem fios BT,,,,,Película aderente,Sem pelicula aderente,,,ABS e silicone,,,,0,,,,,,,"97934, fone de ouvido, bluetooth, 57934",Azul royal,Caixa,,Caixa,,Topo,Topo,50 x 12,Caixa - Topo,Tampografia,Tampografia,PDP1-01-01,PDP1-01,PDP1-01-01,Caixa - Topo (Tampografia - 50 x 12),0,0.0,11109_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11110,11110. Esferográfica com mecanismo twist,11110,Esferográfica com mecanismo twist e clipe de metal. Escrita em azul. ø7 x 129 mm,Esferográfica com mecanismo twist e clipe de metal. Escrita em azul,11110. Esferográfica com mecanismo twist,11110. ESFEROGRÁFICA COM MECANISMO TWIST,False,True,False,False,ø7 x 129 mm,,False,True,0.32,0.31,0.18,0.320X0.310X0.180,12.6,0.018,1000,50,1,96081000,Escrita,0031,Esferográficas em Metal,0131,11110_105-logo.jpg,,,,,"11110_105-logo.jpg, 11110_105.jpg",hi!dea™,China,False,"Escrita a azul, Mecanismo twist",,,MSDS,,Polybag,Polybag,,,Metal,,,,0,,,,,,,"caneta, canetas, esferográficas, certificado, 81185, certificado, certificados",Vermelho,Esferográfica,,Esferográfica,,"Lateral clipe, Oposto do clipe, Corpo",Lateral clipe,40 x 5,"Esferográfica - Lateral clipe, Esferográfica - Oposto do clipe, Esferográfica - Corpo","Laser, Tampografia",Tampografia,PDP1-01-01,"LSR1-01, PDP1-01","LSR1-01-01, PDP1-01-01, PDP1-01-02",Esferográfica - Lateral clipe (Tampografia - 40 x 5),0,0.0,11110_1_1_1.png,False,,,,True,False,,12,Stockout,07/29/2025 16:17:45
11112,11112. Mochila para notebook 15'6'' em 1680D e 300D,11112,"Mochila para notebook em 1680D e 300D com dois compartimentos. Compartimento principal com divisória almofadada para notebook até 15'6''. Interior forrado. Mochila com 3 bolsos frontais e 2 bolsos laterais, parte posterior almofadada, com sistema de apoio acolchoado para as costas e alças almofadadas. Placa metálica removível com imã, para fácil gravação. Capacidade até 26 L. 330 x 480 x 180 mm | Placa: 50 x 20 mm","Mochila para notebook em 1680D e 300D com dois compartimentos. Compartimento principal com divisória almofadada para notebook até 15.6''. Interior forrado. Mochila com 3 bolsos frontais e 2 bolsos laterais, parte posterior almofadada, com sistema de apoio acolchoado para as costas e alças almofadadas. Placa metálica removível com imã, para fácil gravação. Capacidade até 26 L",11112. Mochila para notebook 15.6'' em 1680D e 300D,11112. MOCHILA PARA NOTEBOOK 15.6'' EM 1680D E 300D,False,True,False,False,330 x 480 x 180 mm | Placa: 50 x 20 mm,,False,True,0.5,0.39,0.4,0.500X0.390X0.400,8.92,0.078,10,0,1,42029200,"Mochilas, Pastas & Sacolas",0032,Mochilas para PC/ Tablet,1731,11112_115.jpg,,,,,"11112_115.jpg, 11112_104.jpg, 11112_104-c.jpg",hi!dea™,,False,,,,,,Polybag,Sem polybag,,,1680D e 300D,,,,,,,,,,26 L,"mochilas, sacola, sacolas, bolsa, bolsas, notebooks, computador, computadores, tablets, 92167","Azul, Bordô",Mochila,,Mochila,,Placa,Placa,37 x 12,Mochila - Placa,Laser,Laser,LSR1-01-01,"LSR1-01, LSR1-02, LSR1-03","LSR1-01-01, LSR1-02-01, LSR1-03-01",Mochila - Placa (Laser - 37 x 12),1,0.0,11112_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11113,11113. Mochila para notebook 15'6'' em 600D,11113,Mochila para notebook em 600D. Compartimento com divisória almofadada para notebook até 15'6''. Bolso lateral em tela mesh e bolso frontal com zíper. Parte posterior e alças almofadadas. Bateria e fone não inclusos. Capacidade até 16 L. 310 x 450 x 120 mm,Mochila para notebook em 600D. Compartimento com divisória almofadada para notebook até 15.6''. Bolso lateral em tela mesh e bolso frontal com zíper. Parte posterior e alças almofadadas. Bateria e fone não inclusos. Capacidade até 16 L,11113. Mochila para notebook 15.6'' em 600D,11113. MOCHILA PARA NOTEBOOK 15.6'' EM 600D,False,True,False,False,310 x 450 x 120 mm,,False,True,0.47,0.4,0.38,0.470X0.400X0.380,7.3,0.071,20,10,1,42029200,"Mochilas, Pastas & Sacolas",0032,Mochilas para PC/ Tablet,1731,11113_114-logo.jpg,,,,,"11113_114-logo.jpg, 11113_114.jpg",hi!dea™,China,False,,,,,,Sem polybag,Sem polybag,,,600D,,,,,,,,,,16 L,"mochilas, sacola, sacolas, bolsa, bolsas, notebooks, computador, computadores, tablets",Azul royal,Mochila,,Mochila,,"Frente superior, Frente inferior",Frente superior,150 x 150,"Mochila - Frente superior, Mochila - Frente inferior",Transfer,Transfer,TRS3-01-01,"TRS3-01, TRS3-02, TRS3-03, TRS3-04, TRS3-05","TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F, TRS3-04-01, TRS3-04-02, TRS3-04-03, TRS3-04-04, TRS3-04-F, TRS3-05-01, TRS3-05-02, TRS3-05-03, TRS3-05-04, TRS3-05-F",Mochila - Frente superior (Transfer - 150 x 150),0,0.0,11113_1_1_1.png,False,,,,True,False,,1,Stockout,07/29/2025 16:17:45
11114,11114. Mochila em 600D,11114,Mochila em 600D com bolsos laterais em tela mesh e bolso interior. Parte posterior e alças almofadadas. Capacidade até 15 L. 250 x 420 x 180 mm,Mochila em 600D com bolsos laterais em tela mesh e bolso interior. Parte posterior e alças almofadadas. Capacidade até 15 L,11114. Mochila em 600D,11114. MOCHILA EM 600D,False,True,False,False,250 x 420 x 180 mm,,False,True,0.47,0.34,0.34,0.470X0.340X0.340,5.7,0.045,20,5,1,42029200,"Mochilas, Pastas & Sacolas",0032,Mochilas,202,11114_119-a.jpg,,,,,"11114_119-a.jpg, 11114_119.jpg, 11114_119-b.jpg, 11114_119-c.jpg",hi!dea™,China,False,,,,REACH,,,Sem polybag,,,600D,,,,0,,,,,,15 L,"mochilas, sacola, sacolas, bolsa, bolsas, notebooks, computador, computadores, tablets, mochilas para notebook, certificado, 92471, certificado, certificados",Verde claro,Mochila,,Mochila,,"Frente superior, Lateral, Alça esquerda da mochila, Alça direita da mochila",Frente superior,90 x 70,"Mochila - Frente superior, Mochila - Lateral, Mochila - Alça esquerda da mochila, Mochila - Alça direita da mochila",Transfer,Transfer,TRS3-01-01,"TRS3-01, TRS3-02, TRS3-03","TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F",Mochila - Frente superior (Transfer - 90 x 70),0,0.0,11114_1_1_1.png,False,,,,True,False,,242,Stockout,07/29/2025 16:17:45
11116,11116. Sacola esportiva dobrável em 210D ripstop,11116,Sacola esportiva dobrável em 210D ripstop com bolso frontal. Fornecida desdobrada. Capacidade até 17 L. ø240 x 410 mm | Dobrado: 160 x 160 mm,Sacola esportiva dobrável em 210D ripstop com bolso frontal. Fornecida desdobrada. Capacidade até 17 L,11116. Sacola esportiva dobrável em 210D ripstop,11116. SACOLA ESPORTIVA DOBRÁVEL EM 210D RIPSTOP,False,True,False,False,ø240 x 410 mm | Dobrado: 160 x 160 mm,,False,True,0.48,0.43,0.26,0.480X0.430X0.260,6.8,0.02,100,50,1,42022220,"Mochilas, Pastas & Sacolas",0032,Sacos de Desporto,2042,11116_119-a.jpg,,,,,"11116_119-a.jpg, 11116_119.jpg",hi!dea™,China,False,,,,REACH,,,Sem polybag,,,210D ripstop,,,,0,,,,,,17 L,"sacolas, saco, mala, malas, sacola para esporte, sacolas para esporte, running, certificado, certificados, 92568","Laranja, Verde claro",Sacola desporto,,Sacola desporto,,"Frente superior, Bolso, Bolso frontal centro, Verso",Frente superior,100 x 80,"Sacola desporto - Frente superior, Sacola desporto - Bolso, Sacola desporto - Bolso frontal centro, Sacola desporto - Verso",Transfer,Transfer,TRS2-01-01,"TRS2-01, TRS2-02, TRS2-03, TRS3-01, TRS3-02, TRS3-03","TRS2-01-01, TRS2-01-02, TRS2-01-03, TRS2-01-04, TRS2-01-F, TRS2-02-01, TRS2-02-02, TRS2-02-03, TRS2-02-04, TRS2-02-F, TRS2-03-01, TRS2-03-02, TRS2-03-03, TRS2-03-04, TRS2-03-F, TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F",Sacola desporto - Frente superior (Transfer - 100 x 80),0,0.0,11116_1_1_1.png,False,,,,True,False,,56,Stockout,07/29/2025 16:17:45
